FaceID,X,Y,Z,U,V,PixelX,PixelY,URegion
283,-0.982405227,-0.06832265,-0.173815953,0.027870690028544202,0.47823526970211283,8,76,other
284,-0.95147871,-0.127019493,-0.280275424,0.045592499555598534,0.4594589225070876,14,73,other
285,-0.904654956,-0.172566526,-0.389641124,0.06472743817616806,0.44479402249807143,20,70,other
286,-0.876382189,-0.094021405,-0.472349694,0.07867677425819077,0.47002778697070713,25,74,other
287,-0.843426828,-0.205523004,-0.496378365,0.08466084730272694,0.4341104616198955,27,69,other
288,-0.794023594,-0.32362492,-0.514580842,0.09151655256289713,0.395098405627399,29,62,other
289,-0.865621081,-0.291096744,-0.407385358,0.0700082783855189,0.405979845041886,22,64,other
290,-0.923741387,-0.248870138,-0.29114516,0.04859396902722905,0.41994076192653595,15,66,other
291,-0.964166397,-0.200009956,-0.17429623,0.028463677484083304,0.4359025486857939,9,69,other
292,-0.988291518,-0.140617575,-0.059216317,0.009524836632478663,0.4550911987791101,3,72,other
293,-0.995422136,-0.072477191,0.06230431,0.9900513361743006,0.47690954793031637,315,75,other
294,-0.982246598,-3.99e-09,0.187594299,0.9699654905231097,0.4999999987299435,309,79,other
295,-0.948321943,0.072477247,0.308921579,0.9498796353776482,0.5230904699214396,303,83,other
296,-0.89690936,0.140617763,0.419261547,0.9304060993759093,0.5449088616417633,296,86,other
297,-0.832600971,0.20489285,0.514581911,0.9118950451898422,0.5656845925725849,290,89,other
298,-0.848585065,0.069600838,0.524460781,0.9118950401175664,0.5221725611243331,290,83,other
299,-0.905917216,-3.19e-09,0.423454835,0.9304086148880167,0.49999999898459146,296,79,other
300,-0.948321943,-0.072477247,0.308921579,0.9498796353776482,0.47690953007856035,303,75,other
301,-0.971872431,-0.144954495,0.185612963,0.9699654946987818,0.45369642163534296,309,72,other
302,-0.975138435,-0.21303026,0.061017549,0.9900541303779758,0.43166670781860284,315,68,other
303,-0.960058597,-0.273462913,-0.059207481,0.009802780989776199,0.41183091812984074,3,65,other
304,-0.927889717,-0.326515781,-0.180022548,0.030499201218482118,0.39412536978717544,9,62,other
305,-0.87678857,-0.373696848,-0.302642478,0.05289782776029607,0.3780900390830227,16,60,other
306,-0.808269965,-0.413424156,-0.419261412,0.07615674373938805,0.3643326821830555,24,57,other
307,-0.727431567,-0.442475188,-0.524460697,0.09941860741906078,0.3541004731319806,31,56,other
308,-0.645609358,-0.555093447,-0.524461459,0.10857977480675107,0.3126824921171684,34,49,other
309,-0.732903362,-0.532482927,-0.42345554,0.08338439697564352,0.32125905437205404,26,51,other
310,-0.809811515,-0.498770884,-0.308922185,0.0580015598939354,0.3337849134094414,18,53,other
311,-0.87146607,-0.453976411,-0.185613326,0.033399288806401445,0.35000503312245135,10,55,other
312,-0.914122606,-0.400820047,-0.061017626,0.010607846426064719,0.36872525780525517,3,58,other
313,-0.937444065,-0.343064268,0.059207539,0.989961350124373,0.38853513222547265,315,61,other
314,-0.942601856,-0.281235768,0.180022733,0.9699654934023291,0.4092557053076144,309,65,other
315,-0.92899164,-0.213030394,0.302642667,0.9498768396534266,0.43166666414462074,303,68,other
316,-0.896909344,-0.140617782,0.419261576,0.930406094063546,0.4550911322713439,296,72,other
317,-0.848585086,-0.069600833,0.524460747,0.9118950464932545,0.47782744046310405,290,75,other
318,-0.832600971,-0.20489285,0.514581911,0.9118950451898422,0.4343154074274151,290,69,other
319,-0.871405812,-0.273291446,0.407386422,0.9303991229973213,0.41188765922337356,296,65,other
320,-0.893606975,-0.341614585,0.291146097,0.9498718667312884,0.38902625625949244,303,61,other
321,-0.897593054,-0.404904077,0.174296867,0.9694747810123157,0.36730490970817264,309,58,other
322,-0.882200805,-0.467135025,0.059216618,0.9893329261903406,0.3452861947599773,315,54,other
323,-0.847917159,-0.526454776,-0.06230458,0.011673655754199411,0.3235209456836494,3,51,other
324,-0.794655948,-0.57734739,-0.187595083,0.03689633325950298,0.30408784638545594,11,48,other
325,-0.724607997,-0.616043833,-0.308922718,0.06413901546604414,0.2887344095373529,20,45,other
326,-0.642960918,-0.640952406,-0.419262771,0.09196560459794835,0.2785395848301405,29,44,other
327,-0.553153078,-0.655153421,-0.514583003,0.11925330826562046,0.27260397679080617,38,43,other
328,-0.456096357,-0.738634762,-0.496381709,0.13172749746408108,0.2354708458209266,42,37,other
329,-0.544342072,-0.733298592,-0.407387877,0.102253707965388,0.23797975422700687,32,37,other
330,-0.626352066,-0.718393787,-0.302644107,0.0716365286438537,0.24487762626945397,22,38,other
331,-0.701059016,-0.688522822,-0.185614058,0.04119307048354741,0.25825949493257994,13,41,other
332,-0.762713652,-0.64372821,-0.062304702,0.0129722767900847,0.277386733972593,4,44,other
333,-0.807571734,-0.586730277,0.059795283,0.9882371064603603,0.30041488643302533,315,47,other
334,-0.834944541,-0.522163967,0.17381716,0.967333989187234,0.3251248979022886,308,51,other
335,-0.844425521,-0.456497855,0.280277092,0.9489951252063481,0.3491036092571553,302,55,other
336,-0.833315244,-0.392127406,0.389643172,0.9303890493113808,0.3717392347766675,296,59,other
